Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Train Recall,Validation Recall,Test Recall,Train Specificity,Validation Specificity,Test Specificity,Train Precision,Validation Precision,Test Precision,Train F-Score,Validation F-Score,Test F-Score,Train Loss,Validation Loss,Test Loss
65,0.6596045197740112,0.6567656765676567,0.5953947368421053,0.6596045197740112,0.6567656765676567,0.5953947368421053,1.0,1.0,1.0,0.6065761138012895,0.6116364358132721,0.540535874320704,0.6217027243277822,0.6269677112987666,0.5581054369329167,0.6998729741841073,1.0625884897350082,0.5953947368421053
66,0.6596045197740112,0.6732673267326733,0.5888157894736842,0.6596045197740112,0.6732673267326733,0.5888157894736842,1.0,1.0,1.0,0.6085603532952465,0.6305205953770523,0.5348052417092357,0.6215522514985626,0.6436336543790546,0.5495965744203297,0.7078022552818912,1.0572129407281428,0.5888157894736842
67,0.6567796610169492,0.6567656765676567,0.5986842105263158,0.6567796610169492,0.6567656765676567,0.5986842105263158,1.0,1.0,1.0,0.6073469275363766,0.617415120605387,0.5453333539652017,0.6183911275382855,0.6279675901740394,0.5586206385234732,0.7138858048501747,1.052088655118024,0.5986842105263158
68,0.6652542372881356,0.66996699669967,0.5953947368421053,0.6652542372881356,0.66996699669967,0.5953947368421053,1.0,1.0,1.0,0.6137395418619784,0.6258543631669268,0.545176370687172,0.6277563327839115,0.6399948640078943,0.5591365638010486,0.7060122222221321,1.0469992958107313,0.5953947368421053
69,0.672316384180791,0.6732673267326733,0.5888157894736842,0.672316384180791,0.6732673267326733,0.5888157894736842,1.0,1.0,1.0,0.6188332772227957,0.6294930882677151,0.5390216641808322,0.6343448254177382,0.6431207443231267,0.5543659797131816,0.6926982202854319,1.0418644976147124,0.5888157894736842
70,0.6807909604519774,0.6831683168316832,0.6052631578947368,0.6807909604519774,0.6831683168316832,0.6052631578947368,1.0,1.0,1.0,0.6285837916951641,0.63980347450824,0.5528527264341409,0.6433986177944376,0.653465566702671,0.5679077328101144,0.6813270460962059,1.0367139625930195,0.6052631578947368
71,0.653954802259887,0.6600660066006601,0.5953947368421053,0.653954802259887,0.6600660066006601,0.5953947368421053,1.0,1.0,1.0,0.633854562350405,0.6231628838838476,0.5516140461864145,0.6164497325789771,0.6323736634440792,0.559718595379995,0.6695440660246958,1.0315425555990996,0.5953947368421053
72,0.6560734463276836,0.6501650165016502,0.5888157894736842,0.6560734463276836,0.6501650165016502,0.5888157894736842,1.0,1.0,1.0,0.6578646954864852,0.6217483985439108,0.5366710942328721,0.6209426718090864,0.6218778019105299,0.5486096790287467,0.7630254450109442,1.027813151285375,0.5888157894736842
73,0.6546610169491526,0.6468646864686468,0.5888157894736842,0.6546610169491526,0.6468646864686468,0.5888157894736842,1.0,1.0,1.0,0.6059722793847021,0.6131200505137605,0.5335981802675881,0.615595408560089,0.6189793626828822,0.546433859295253,0.6949734824898613,1.0232537037676281,0.5888157894736842
74,0.6638418079096046,0.6633663366336634,0.5953947368421053,0.6638418079096046,0.6633663366336634,0.5953947368421053,1.0,1.0,1.0,0.6143413239675958,0.6272577523442143,0.53787774579573,0.6242709696068377,0.6338035277920762,0.5506401511342429,0.7140385218016021,1.0190751202275468,0.5953947368421053
75,0.6666666666666666,0.6633663366336634,0.6052631578947368,0.6666666666666666,0.6633663366336634,0.6052631578947368,1.0,1.0,1.0,0.6456481403651074,0.6304953475836722,0.5509790574281571,0.6291175834776372,0.6373918069916551,0.5640942511156308,0.663057865243825,1.0143282234944304,0.6052631578947368
76,0.681497175141243,0.6666666666666666,0.6019736842105263,0.681497175141243,0.6666666666666666,0.6019736842105263,1.0,1.0,1.0,0.6568689045405697,0.6364962637904658,0.5585035570982755,0.6480994454915024,0.6461314742100882,0.5702945184209721,0.6826525774078641,1.0099640702564494,0.6019736842105263
77,0.6779661016949152,0.6666666666666666,0.6151315789473685,0.6779661016949152,0.6666666666666666,0.6151315789473685,1.0,1.0,0.9615384615384616,0.6546815557434025,0.635438241647883,0.5626379782686498,0.6432513909164881,0.6419688887741896,0.5776847909777696,0.6492809650482475,1.0052798740849143,0.6151315789473685
78,0.6751412429378532,0.6765676567656765,0.5953947368421053,0.6751412429378532,0.6765676567656765,0.5953947368421053,1.0,1.0,1.0,0.6588189801333781,0.641627302350118,0.5558948348422033,0.6394682841630431,0.6475712681525554,0.5620580160269069,0.6515176772681041,1.0007444613052117,0.5953947368421053
79,0.6836158192090396,0.6633663366336634,0.6151315789473685,0.6836158192090396,0.6633663366336634,0.6151315789473685,1.0,1.0,0.9615384615384616,0.6598023139470939,0.6345096962703789,0.5701611903564625,0.6501837282531925,0.6418090958139822,0.5810863158225938,0.6612211543408334,0.9964466979259157,0.6151315789473685
