Arquivo de saída: /home/pojucan/Área de Trabalho/231009/scripts/PCA/efetivos/arquivo_treinamento_suavizado_metricas10_100_50_10.csv

Época 68: MAE no treinamento = 0.1097, MAE na validação = 0.1212, MAE no teste = 0.1256
Época 68: MSE no treinamento = 0.0194, MSE na validação = 0.0230, MSE no teste = 0.0246
Época 68: R-squared no treinamento = 0.7628, R-squared na validação = 0.7350, R-squared no teste = 0.6970
Época 68: LOSS no treinamento = 0.0098, LOSS na validação = 0.7350, LOSS no teste = 0.6970
Época 69: MAE no treinamento = 0.1096, MAE na validação = 0.1212, MAE no teste = 0.1255
Época 69: MSE no treinamento = 0.0194, MSE na validação = 0.0230, MSE no teste = 0.0246
Época 69: R-squared no treinamento = 0.7631, R-squared na validação = 0.7347, R-squared no teste = 0.6972
Época 69: LOSS no treinamento = 0.0098, LOSS na validação = 0.7347, LOSS no teste = 0.6972
Época 70: MAE no treinamento = 0.1092, MAE na validação = 0.1205, MAE no teste = 0.1252
Época 70: MSE no treinamento = 0.0193, MSE na validação = 0.0228, MSE no teste = 0.0245
Época 70: R-squared no treinamento = 0.7637, R-squared na validação = 0.7366, R-squared no teste = 0.6979
Época 70: LOSS no treinamento = 0.0098, LOSS na validação = 0.7366, LOSS no teste = 0.6979
Época 71: MAE no treinamento = 0.1093, MAE na validação = 0.1210, MAE no teste = 0.1253
Época 71: MSE no treinamento = 0.0193, MSE na validação = 0.0229, MSE no teste = 0.0245
Época 71: R-squared no treinamento = 0.7640, R-squared na validação = 0.7351, R-squared no teste = 0.6980
Época 71: LOSS no treinamento = 0.0098, LOSS na validação = 0.7351, LOSS no teste = 0.6980
Época 72: MAE no treinamento = 0.1089, MAE na validação = 0.1204, MAE no teste = 0.1250
